TSE COD,TSE MUNICIPIO,IBGE COD,IBGE MUNICIPIO
67695,NOVA ODESSA,3533403,Nova Odessa
67717,NOVO HORIZONTE,3533502,Novo Horizonte
67733,NUPORANGA,3533601,Nuporanga
67750,OCAUÇU,3533700,Ocauçu
67776,ÓLEO,3533809,Óleo
67792,OLÍMPIA,3533908,Olímpia
67814,ONDA VERDE,3534005,Onda Verde
67830,ORIENTE,3534104,Oriente
67857,ORINDIÚVA,3534203,Orindiúva
67873,ORLÂNDIA,3534302,Orlândia
67890,OSASCO,3534401,Osasco
67911,OSCAR BRESSANE,3534500,Oscar Bressane
67938,OSVALDO CRUZ,3534609,Osvaldo Cruz
67954,OURINHOS,3534708,Ourinhos
67970,OURO VERDE,3534807,Ouro Verde
67997,PACAEMBU,3534906,Pacaembu
68012,PALESTINA,3535002,Palestina
68039,PALMARES PAULISTA,3535101,Palmares Paulista
68055,PALMEIRA D'OESTE,3535200,Palmeira dOeste
68071,PALMITAL,3535309,Palmital
68098,PANORAMA,3535408,Panorama
68110,PARAGUAÇU PAULISTA,3535507,Paraguaçu Paulista
68136,PARAIBUNA,3535606,Paraibuna
68152,PARAÍSO,3535705,Paraíso
68179,PARANAPANEMA,3535804,Paranapanema
68195,PARANAPUÃ,3535903,Paranapuã
68217,PARAPUÃ,3536000,Parapuã
68233,PARDINHO,3536109,Pardinho
68250,PARIQUERA-AÇU,3536208,Pariquera-Açu
68276,PATROCÍNIO PAULISTA,3536307,Patrocínio Paulista
68292,PAULICÉIA,3536406,Paulicéia
68314,PAULÍNIA,3536505,Paulínia
68330,PAULO DE FARIA,3536604,Paulo de Faria
68357,PEDERNEIRAS,3536703,Pederneiras
68373,PEDRA BELA,3536802,Pedra Bela
68390,PEDRANÓPOLIS,3536901,Pedranópolis
68411,PEDREGULHO,3537008,Pedregulho
68438,PEDREIRA,3537107,Pedreira
68454,PEDRO DE TOLEDO,3537206,Pedro de Toledo
68470,PENÁPOLIS,3537305,Penápolis
68497,PEREIRA BARRETO,3537404,Pereira Barreto
68519,PEREIRAS,3537503,Pereiras
68535,PERUÍBE,3537602,Peruíbe
68551,PIACATU,3537701,Piacatu
68578,PIEDADE,3537800,Piedade
68594,PILAR DO SUL,3537909,Pilar do Sul
68616,PINDAMONHANGABA,3538006,Pindamonhangaba
68632,PINDORAMA,3538105,Pindorama
68659,ESPÍRITO SANTO DO PINHAL,3515186,Espírito Santo do Pinhal
68675,PINHALZINHO,3538204,Pinhalzinho
68691,PIQUEROBI,3538303,Piquerobi
68713,PIQUETE,3538501,Piquete
68730,PIRACAIA,3538600,Piracaia
68756,PIRACICABA,3538709,Piracicaba
68772,PIRAJU,3538808,Piraju
68799,PIRAJUÍ,3538907,Pirajuí
68810,PIRANGI,3539004,Pirangi
68837,PIRAPORA DO BOM JESUS,3539103,Pirapora do Bom Jesus
68853,PIRAPOZINHO,3539202,Pirapozinho
68870,PIRASSUNUNGA,3539301,Pirassununga
68896,PIRATININGA,3539400,Piratininga
68918,PITANGUEIRAS,3539509,Pitangueiras
68934,PLANALTO,3539608,Planalto
68950,PLATINA,3539707,Platina
68977,POÁ,3539806,Poá
68993,POLONI,3539905,Poloni
69019,POMPÉIA,3540002,Pompéia
69035,PONGAÍ,3540101,Pongaí
69051,PONTAL,3540200,Pontal
69078,PONTES GESTAL,3540309,Pontes Gestal
69094,POPULINA,3540408,Populina
69116,PORANGABA,3540507,Porangaba
69132,PORTO FELIZ,3540606,Porto Feliz
69159,PORTO FERREIRA,3540705,Porto Ferreira
69175,POTIRENDABA,3540804,Potirendaba
69191,PRADÓPOLIS,3540903,Pradópolis
69213,PRAIA GRANDE,3541000,Praia Grande
69230,PRESIDENTE ALVES,3541109,Presidente Alves
69256,PRESIDENTE BERNARDES,3541208,Presidente Bernardes
69272,PRESIDENTE EPITÁCIO,3541307,Presidente Epitácio
69299,PRESIDENTE PRUDENTE,3541406,Presidente Prudente
69310,PRESIDENTE VENCESLAU,3541505,Presidente Venceslau
69337,PROMISSÃO,3541604,Promissão
69353,QUATÁ,3541703,Quatá
69370,QUEIROZ,3541802,Queiroz
69396,QUELUZ,3541901,Queluz
69418,QUINTANA,3542008,Quintana
69434,RAFARD,3542107,Rafard
69450,RANCHARIA,3542206,Rancharia
69477,REDENÇÃO DA SERRA,3542305,Redenção da Serra
69493,REGENTE FEIJÓ,3542404,Regente Feijó
69515,REGINÓPOLIS,3542503,Reginópolis
69531,REGISTRO,3542602,Registro
69558,RESTINGA,3542701,Restinga
69574,RIBEIRA,3542800,Ribeira
69590,RIBEIRÃO BONITO,3542909,Ribeirão Bonito
69612,RIBEIRÃO BRANCO,3543006,Ribeirão Branco
69639,RIBEIRÃO CORRENTE,3543105,Ribeirão Corrente
69655,RIBEIRÃO DO SUL,3543204,Ribeirão do Sul
69671,RIBEIRÃO PIRES,3543303,Ribeirão Pires
69698,RIBEIRÃO PRETO,3543402,Ribeirão Preto
69710,RIVERSUL,3543501,Riversul
69736,RIFAINA,3543600,Rifaina
69752,RINCÃO,3543709,Rincão
69779,RINÓPOLIS,3543808,Rinópolis
69795,RIO CLARO,3543907,Rio Claro
69817,RIO DAS PEDRAS,3544004,Rio das Pedras
69833,RIO GRANDE DA SERRA,3544103,Rio Grande da Serra
69850,RIOLÂNDIA,3544202,Riolândia
69876,ROSEIRA,3544301,Roseira
69892,RUBIÁCEA,3544400,Rubiácea
69914,RUBINÉIA,3544509,Rubinéia
69930,SABINO,3544608,Sabino
69957,SAGRES,3544707,Sagres
69973,SALES,3544806,Sales
69990,SALES OLIVEIRA,3544905,Sales Oliveira
70017,SALESÓPOLIS,3545001,Salesópolis
70033,SALMOURÃO,3545100,Salmourão
70050,SALTO,3545209,Salto
70076,SALTO DE PIRAPORA,3545308,Salto de Pirapora
70092,SALTO GRANDE,3545407,Salto Grande
70114,SANDOVALINA,3545506,Sandovalina
70130,SANTA ADÉLIA,3545605,Santa Adélia
70157,SANTA ALBERTINA,3545704,Santa Albertina
70173,SANTA BÁRBARA D'OESTE,3545803,Santa Bárbara dOeste
70190,ÁGUAS DE SANTA BÁRBARA,3500550,Águas de Santa Bárbara
70211,SANTA BRANCA,3546009,Santa Branca
70238,SANTA CLARA D'OESTE,3546108,Santa Clara dOeste
70254,SANTA CRUZ DA CONCEIÇÃO,3546207,Santa Cruz da Conceição
70270,SANTA CRUZ DAS PALMEIRAS,3546306,Santa Cruz das Palmeiras
70297,SANTA CRUZ DO RIO PARDO,3546405,Santa Cruz do Rio Pardo
70319,SANTA ERNESTINA,3546504,Santa Ernestina
70335,SANTA FÉ DO SUL,3546603,Santa Fé do Sul
70351,SANTA GERTRUDES,3546702,Santa Gertrudes
70378,SANTA ISABEL,3546801,Santa Isabel
70394,SANTA LÚCIA,3546900,Santa Lúcia
70416,SANTA MARIA DA SERRA,3547007,Santa Maria da Serra
70432,SANTA MERCEDES,3547106,Santa Mercedes
70459,SANTANA DA PONTE PENSA,3547205,Santana da Ponte Pensa
70475,SANTANA DE PARNAÍBA,3547304,Santana de Parnaíba
70491,SANTA RITA D'OESTE,3547403,Santa Rita dOeste
70513,SANTA RITA DO PASSA QUATRO,3547502,Santa Rita do Passa Quatro
